order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ord_0001,cust_0001,delivered,2017-01-05 10:15:23,2017-01-05 10:30:00,2017-01-06 14:00:00,2017-01-10 16:45:00,2017-01-18 00:00:00
ord_0002,cust_0002,delivered,2017-01-12 09:02:11,2017-01-12 09:20:00,2017-01-13 11:00:00,2017-01-19 13:30:00,2017-01-25 00:00:00
ord_0003,cust_0003,delivered,2017-02-03 18:45:02,2017-02-03 19:00:00,2017-02-04 09:00:00,2017-02-09 17:10:00,2017-02-15 00:00:00
ord_0004,cust_0004,shipped,2017-02-20 12:33:45,2017-02-20 13:00:00,2017-02-21 10:00:00,,2017-03-01 00:00:00
ord_0005,cust_0005,delivered,2017-03-01 08:12:09,2017-03-01 08:30:00,2017-03-02 10:00:00,2017-03-08 12:00:00,2017-03-14 00:00:00
ord_0006,cust_0006,canceled,2017-03-10 21:05:33,,,,2017-03-20 00:00:00
ord_0007,cust_0007,delivered,2017-03-22 15:40:00,2017-03-22 16:00:00,2017-03-23 09:30:00,2017-03-28 11:15:00,2017-04-03 00:00:00
ord_0008,cust_0008,delivered,2017-04-02 07:55:19,2017-04-02 08:10:00,2017-04-03 08:00:00,2017-04-09 14:20:00,2017-04-15 00:00:00
ord_0009,cust_0009,invoiced,2017-04-15 11:23:47,2017-04-15 11:40:00,,,2017-04-25 00:00:00
ord_0010,cust_0010,delivered,2017-05-01 19:10:02,2017-05-01 19:25:00,2017-05-02 10:00:00,2017-05-07 15:30:00,2017-05-13 00:00:00
ord_0011,cust_0011,delivered,2017-05-18 13:02:55,2017-05-18 13:20:00,2017-05-19 09:00:00,2017-05-24 10:00:00,2017-05-30 00:00:00
ord_0012,cust_0012,delivered,2017-06-02 10:45:00,2017-06-02 11:00:00,2017-06-03 09:00:00,2017-06-08 16:00:00,2017-06-14 00:00:00
ord_0013,cust_0013,delivered,2017-06-19 16:20:31,2017-06-19 16:40:00,2017-06-20 10:00:00,2017-06-25 12:45:00,2017-07-01 00:00:00
ord_0014,cust_0014,shipped,2017-07-04 09:55:12,2017-07-04 10:10:00,2017-07-05 09:00:00,,2017-07-14 00:00:00
ord_0015,cust_0015,delivered,2017-07-21 14:08:44,2017-07-21 14:25:00,2017-07-22 09:30:00,2017-07-27 17:00:00,2017-08-02 00:00:00
